Year,Type of Crime,Date,Time,Latitude,Longitude,Location,Arrest
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,42.0122934,-87.69971411,CURRENCY EXCHANGE,TRUE
2017,CRIMINAL DAMAGE,3/1/2018,3:52:00 PM,41.91871165,-87.76551063,JAIL / LOCK-UP FACILITY,TRUE
2017,OTHER OFFENSE,3/1/2018,3:52:00 PM,41.81466978,-87.6907267,APARTMENT,TRUE
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,41.93858144,-87.76583058,CURRENCY EXCHANGE,TRUE
2017,CRIM SEXUAL ASSAULT,3/1/2018,3:52:00 PM,41.8958051,-87.68315936,STREET,TRUE
2017,WEAPONS VIOLATION,2/11/2018,3:54:00 PM,41.78742694,-87.62175873,ALLEY,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.70706214,-87.63148256,SMALL RETAIL STORE,TRUE
2017,THEFT,2/11/2018,3:54:00 PM,41.84451047,-87.70551945,OTHER,TRUE
2017,OTHER OFFENSE,2/11/2018,3:54:00 PM,41.84377813,-87.69463768,JAIL / LOCK-UP FACILITY,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.89447592,-87.70216916,SIDEWALK,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.89510124,-87.68437857,STREET,TRUE
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,,,CURRENCY EXCHANGE,TRUE
2017,ARSON,3/1/2018,3:54:00 PM,41.83257109,-87.70468577,"SCHOOL, PRIVATE, BUILDING",FALSE
2018,DECEPTIVE PRACTICE,2/11/2018,3:57:00 PM,,,,FALSE
2017,CRIM SEXUAL ASSAULT,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,THEFT,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,SEX OFFENSE,2/11/2018,3:57:00 PM,,,"SCHOOL, PUBLIC, BUILDING",FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,BURGLARY,2/11/2018,3:57:00 PM,,,OTHER,FALSE
2017,CRIMINAL DAMAGE,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,DECEPTIVE PRACTICE,2/11/2018,3:57:00 PM,,,,FALSE
2017,CRIM SEXUAL ASSAULT,2/11/2018,3:57:00 PM,,,HOTEL/MOTEL,FALSE
2017,ARSON,2/12/2018,3:49:00 PM,41.75564461,-87.64050812,VEHICLE NON-COMMERCIAL,FALSE
2017,BATTERY,2/12/2018,3:46:00 PM,41.85279603,-87.6966622,APARTMENT,TRUE
2017,DECEPTIVE PRACTICE,2/12/2018,3:46:00 PM,41.71272093,-87.68181398,GAS STATION,TRUE
2017,THEFT,2/12/2018,3:46:00 PM,41.69006147,-87.61820129,RESIDENTIAL YARD (FRONT/BACK),FALSE
2018,THEFT,2/12/2018,3:49:00 PM,,,RESIDENCE-GARAGE,FALSE
2017,OTHER OFFENSE,2/12/2018,3:49:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/12/2018,3:49:00 PM,,,APARTMENT,FALSE
2017,DECEPTIVE PRACTICE,2/12/2018,3:49:00 PM,,,POOL ROOM,FALSE
2017,DECEPTIVE PRACTICE,2/12/2018,3:49:00 PM,,,RESIDENCE,FALSE
2018,THEFT,2/12/2018,3:49:00 PM,,,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE
2017,DECEPTIVE PRACTICE,2/12/2018,3:49:00 PM,,,,FALSE
2017,BURGLARY,2/12/2018,3:49:00 PM,,,VACANT LOT/LAND,FALSE
2017,OTHER OFFENSE,2/12/2018,3:49:00 PM,,,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/13/2018,3:56:00 PM,41.87788742,-87.76477792,STREET,FALSE
2017,CRIMINAL TRESPASS,2/13/2018,3:56:00 PM,41.75033427,-87.66504531,APARTMENT,TRUE
2017,ROBBERY,2/13/2018,3:56:00 PM,41.86713159,-87.7208023,SIDEWALK,TRUE
2017,BATTERY,2/13/2018,3:56:00 PM,41.91595749,-87.67666839,STREET,TRUE
2017,BURGLARY,2/13/2018,3:56:00 PM,41.89746717,-87.76913688,RESIDENCE,TRUE
2017,BATTERY,2/13/2018,3:56:00 PM,41.86333078,-87.72752371,APARTMENT,TRUE
2017,BATTERY,2/13/2018,3:56:00 PM,41.79197549,-87.64631068,APARTMENT,TRUE
2017,BATTERY,2/13/2018,3:56:00 PM,41.86333078,-87.72752371,ALLEY,TRUE
2017,CRIMINAL DAMAGE,2/13/2018,3:56:00 PM,41.86333078,-87.72752371,RESIDENTIAL YARD (FRONT/BACK),TRUE
2017,ROBBERY,2/13/2018,3:56:00 PM,41.72717528,-87.60459441,SIDEWALK,TRUE
2017,BURGLARY,2/13/2018,3:56:00 PM,41.95479392,-87.70315154,APARTMENT,TRUE
2018,OTHER OFFENSE,2/12/2018,3:49:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:56:00 PM,41.92695681,-87.70570027,COMMERCIAL / BUSINESS OFFICE,FALSE
2018,CRIMINAL DAMAGE,5/4/2018,3:51:00 PM,41.80288276,-87.60642192,SMALL RETAIL STORE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:56:00 PM,,,APARTMENT,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.75645749,-87.55285393,APARTMENT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.75905551,-87.56125968,STREET,FALSE
2017,THEFT,2/13/2018,3:58:00 PM,,,ATHLETIC CLUB,FALSE
2017,OTHER OFFENSE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,APARTMENT,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,APARTMENT,FALSE
2017,BURGLARY,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,APARTMENT,FALSE
2017,THEFT,2/13/2018,3:58:00 PM,,,RESTAURANT,FALSE
2017,OTHER OFFENSE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,RESIDENCE,FALSE
2017,CRIMINAL DAMAGE,2/13/2018,3:58:00 PM,,,RESIDENCE-GARAGE,FALSE
2017,ROBBERY,2/13/2018,3:58:00 PM,,,CONVENIENCE STORE,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,,FALSE
2017,DECEPTIVE PRACTICE,2/13/2018,3:58:00 PM,,,,FALSE
2017,ASSAULT,2/13/2018,3:58:00 PM,,,RESIDENTIAL YARD (FRONT/BACK),FALSE
2017,THEFT,2/13/2018,3:58:00 PM,,,CTA STATION,FALSE
2018,HOMICIDE,3/18/2019,4:08:00 PM,41.78082323,-87.65331894,APARTMENT,FALSE
2017,SEX OFFENSE,2/14/2018,3:49:00 PM,41.9206927,-87.64003,RESIDENCE,FALSE
2017,THEFT,2/14/2018,3:49:00 PM,41.88239406,-87.6278448,SMALL RETAIL STORE,TRUE
2017,BATTERY,2/14/2018,3:49:00 PM,41.96726424,-87.70476792,APARTMENT,TRUE
2017,BURGLARY,2/14/2018,3:49:00 PM,41.89469218,-87.61563657,RESIDENCE,FALSE
2017,ROBBERY,2/14/2018,3:49:00 PM,41.72902835,-87.58674337,RESIDENTIAL YARD (FRONT/BACK),TRUE
2017,BATTERY,2/10/2018,3:50:00 PM,41.75436382,-87.58337864,APARTMENT,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.92845174,-87.69908555,OTHER,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.74416743,-87.54425606,RESIDENCE,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.79051708,-87.61911734,SIDEWALK,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.79350883,-87.61919414,STREET,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.75574488,-87.71686718,STREET,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.72189586,-87.61384102,GAS STATION,FALSE
2018,ASSAULT,2/13/2018,3:58:00 PM,,,VEHICLE NON-COMMERCIAL,FALSE
2017,CRIM SEXUAL ASSAULT,2/10/2018,3:50:00 PM,41.80993288,-87.61384343,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/10/2018,3:50:00 PM,41.85507573,-87.71714757,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.88870181,-87.64757061,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.85287163,-87.69150802,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.8598943,-87.72376774,APARTMENT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.88457371,-87.73478897,APARTMENT,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.89484873,-87.76570736,STREET,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.75286314,-87.7173382,STREET,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.80029685,-87.6783787,RESIDENCE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.78046365,-87.69343316,OTHER,FALSE
2017,CRIMINAL TRESPASS,2/10/2018,3:50:00 PM,41.68478524,-87.66347623,RESTAURANT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.93102883,-87.78378017,STREET,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.93102862,-87.78373607,STREET,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.78630923,-87.66315381,SIDEWALK,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.79560024,-87.62411072,RESTAURANT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.99732657,-87.7641354,STREET,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.86895818,-87.6579626,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.92050621,-87.66551402,STREET,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.96167486,-87.70337053,SIDEWALK,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.75214493,-87.717488,STREET,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.79408428,-87.714604,STREET,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.73614018,-87.62911796,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,CRIMINAL TRESPASS,2/10/2018,3:50:00 PM,41.92671468,-87.64478241,HOTEL/MOTEL,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.87243041,-87.71561506,APARTMENT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.73506621,-87.55414617,APARTMENT,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.75598487,-87.65197593,APARTMENT,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.95978944,-87.7721097,RESIDENCE-GARAGE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.96716226,-87.76745966,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.88528085,-87.68654552,GAS STATION,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.80515278,-87.62272898,OTHER,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.76605011,-87.57893184,SIDEWALK,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.79162671,-87.64994844,APARTMENT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.9922938,-87.68110416,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.72166994,-87.66269402,SMALL RETAIL STORE,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.93682063,-87.72476314,STREET,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.92826317,-87.78561194,RESTAURANT,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.82082114,-87.70287097,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.91118469,-87.69456498,STREET,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.91240694,-87.68060283,TAVERN/LIQUOR STORE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.76345428,-87.56530489,APARTMENT,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.87525073,-87.72679796,APARTMENT,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.87287507,-87.72540316,GOVERNMENT BUILDING/PROPERTY,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.77152146,-87.68342984,CTA BUS STOP,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.89472314,-87.63942576,STREET,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.88463996,-87.72909987,ALLEY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.91306583,-87.68161749,VEHICLE NON-COMMERCIAL,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.92192449,-87.69141172,SIDEWALK,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.69231026,-87.62104324,SMALL RETAIL STORE,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.75075187,-87.56257587,APARTMENT,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.8574138,-87.70699373,STREET,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.89214469,-87.61769981,RESIDENCE,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.75245188,-87.59794281,STREET,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.78320968,-87.61569688,STREET,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.96230143,-87.67899814,RESIDENCE,TRUE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.79771831,-87.62092242,OTHER,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.89489865,-87.75973838,TAVERN/LIQUOR STORE,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.9975448,-87.70046744,ATM (AUTOMATIC TELLER MACHINE),FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.6856116,-87.70182406,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.69219741,-87.65547244,RESIDENCE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.88681513,-87.64184704,STREET,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.74931746,-87.57715988,STREET,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.90907278,-87.69329288,CHA APARTMENT,TRUE
2017,OFFENSE INVOLVING CHILDREN,2/10/2018,3:50:00 PM,41.87392875,-87.75623214,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.72080256,-87.64319753,LIBRARY,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.86541287,-87.7227094,SIDEWALK,TRUE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.85893611,-87.71853482,STREET,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.88065311,-87.63439665,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.88574103,-87.63171175,CTA TRAIN,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.91824531,-87.64420842,RESIDENTIAL YARD (FRONT/BACK),FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.85153578,-87.72541439,SIDEWALK,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.87612122,-87.64100397,CTA STATION,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.86352869,-87.71777862,APARTMENT,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.73512019,-87.6423738,RESIDENCE,TRUE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.86803889,-87.66642017,STREET,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.90461866,-87.67385314,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.93621113,-87.65796283,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.91115121,-87.63598179,ATHLETIC CLUB,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.72701197,-87.57303648,ALLEY,TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.7627632,-87.62163177,RESIDENCE PORCH/HALLWAY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.89620326,-87.71755678,RESIDENCE PORCH/HALLWAY,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.82169024,-87.69083261,APARTMENT,TRUE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.89909631,-87.75570072,RESIDENCE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.80146082,-87.65434043,STREET,FALSE
2017,CRIMINAL TRESPASS,2/10/2018,3:50:00 PM,41.96542634,-87.65522754,RESTAURANT,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.65457668,-87.5435136,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.88065311,-87.63439665,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.90884995,-87.64664598,GROCERY FOOD STORE,TRUE
2017,BATTERY,2/10/2018,3:50:00 PM,41.87513075,-87.73637151,STREET,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.91091418,-87.64857834,OTHER,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.65732147,-87.60638511,"SCHOOL, PUBLIC, BUILDING",TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.91895164,-87.67766282,RESIDENCE-GARAGE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.78993119,-87.66448019,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.79956218,-87.58758291,SMALL RETAIL STORE,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.85384608,-87.71506347,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.80191408,-87.59823574,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.74342539,-87.73498406,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.87749574,-87.76051092,RESIDENCE,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.88191785,-87.73648093,RESIDENTIAL YARD (FRONT/BACK),TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.95946513,-87.69284032,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.86566315,-87.69258794,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87256902,-87.62595547,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.69902045,-87.62687197,RESIDENCE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.77886851,-87.67389658,GAS STATION,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.87814479,-87.63123304,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.89789513,-87.62409661,DEPARTMENT STORE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.94000587,-87.64769013,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.86830059,-87.69905267,SIDEWALK,TRUE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.72428184,-87.65789004,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/10/2018,3:50:00 PM,41.73058491,-87.63981761,RESIDENCE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.74129311,-87.61303826,RESIDENCE,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.66411347,-87.55805448,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.88058694,-87.70611017,GOVERNMENT BUILDING/PROPERTY,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.78252601,-87.66429316,SIDEWALK,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.72008003,-87.56686919,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87296355,-87.7536633,"SCHOOL, PUBLIC, BUILDING",FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.88378473,-87.73557853,RESIDENCE,TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.82507141,-87.60574538,RESIDENTIAL YARD (FRONT/BACK),FALSE
2017,INTERFERENCE WITH PUBLIC OFFICER,2/10/2018,3:50:00 PM,41.88630055,-87.75528349,STREET,TRUE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.88000713,-87.67699987,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.8798933,-87.62772175,DEPARTMENT STORE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.96855977,-87.69536369,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.88518173,-87.67108211,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.93472293,-87.70871499,DRIVEWAY - RESIDENTIAL,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,42.01849825,-87.67298323,CTA STATION,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,42.01390341,-87.66662427,APARTMENT,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.66515022,-87.63591984,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.94827959,-87.64951667,OTHER,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.89002378,-87.65390649,APARTMENT,FALSE
